x,y
-244.580664636915,-2.23178896453193
-244.582642505046,-1.60284563292516
-244.588576031202,-0.973927180657824
-244.598464980667,-0.345058486085221
-244.612308962261,0.283735574405655
-244.630107428353,0.91243012738013
-244.651859674881,1.54100030333979
-244.677564841384,2.16942123770624
-244.707221911035,2.79766807180469
-244.740829710676,3.4257159538473
-244.778386910874,4.05354003991626
-244.819892025962,4.68111549494652
-244.86534341411,5.30841749370823
-244.914739277379,5.93542122178873
-244.9680776618,6.56210187657419
-245.025356457447,7.18843466823069
-245.086573398522,7.81439482068486
-245.151726063443,8.43995757260396
-245.220811874944,9.06509817837535
-245.293828100172,9.68979190908541
-245.370771850798,10.3140140534977
-245.451640083129,10.9377399190304
-245.536429598232,11.5609448327334
-245.625137042058,12.1836041422639
-245.717758905572,12.8056932168617
-245.8142915249,13.4271874483238
-245.914731081466,14.0480622519775
-246.019073602144,14.668293067653
-246.127314959421,15.287855360655
-246.239450871553,15.9067246227332
-246.35547690274,16.5248763730518
-246.475388463298,17.1422861591578
-246.599180809842,17.7589295579485
-246.726849045473,18.3747821766373
-246.858388119972,18.9898196537189
-246.993792830001,19.6040176599326
-247.133057819306,20.2173518992253
-247.276177578932,20.8297981097121
-247.423146447439,21.441332064636
-247.573958611125,22.0519295733268
-247.728608104259,22.6615664821572
-247.887088809315,23.2702186754991
-248.049394457214,23.8778620766769
-248.215518627574,24.4844726489202
-248.385454748959,25.0900263963146
-248.559196099146,25.6944993647511
-248.736735805384,26.297867642873
-248.918066844671,26.9001073630228
-249.103182044029,27.5011947021853
-249.29207408079,28.1011058829307
-249.484735482882,28.699817174355
-249.681158629129,29.2973048930183
-249.881335749548,29.8935454038824
-250.085258925662,30.4885151212452
-250.292920090806,31.0821905096738
-250.504311030454,31.6745480849356
-250.719423382536,32.2655644149271
-250.938248637775,32.8552161206011
-251.160778140023,33.4434798768912
-251.387003086597,34.0303324136348
-251.616914528637,34.6157505164931
-251.850503371452,35.19971102787
-252.087760374882,35.7821908478277
-252.328676153668,36.3631669350009
-252.573241177816,36.9426163075078
-252.821445772978,37.5205160438594
-253.073280120836,38.0968432838662
-253.328734259487,38.6715752295427
-253.587798083839,39.2446891460088
-253.85046134601,39.8161623623895
-254.116713655735,40.3859722727116
-254.386544480774,40.9540963367978
-254.659943147331,41.5205120811585
-254.936898840477,42.0851970998807
-255.217400604573,42.6481290555143
-255.501437343712,43.2092856799558
-255.788997822147,43.7686447753292
-256.080070664746,44.3261842148638
-256.374644357434,44.8818819437699
-256.672707247652,45.4357159801108
-256.974247544819,45.9876644156728
-257.279253320796,46.5377054168315
-257.587712510359,47.0858172254155
-257.899612911675,47.6319781595672
-258.214942186789,48.1761666146005
-258.533687862104,48.7183610638554
-258.855837328883,49.2585400595493
-259.181377843743,49.796682233626
-259.510296529159,50.3327662986001
-259.842580373975,50.8667710484001
-260.17821623392,51.3986753592063
-260.517190832123,51.9284581902871
-260.859490759644,52.4560985848308
-261.205102476,52.9815756707751
-261.554012309703,53.5048686616323
-261.9062064588,54.0259568573118
-262.26167099142,54.5448196449388
-262.620391846324,55.0614364996701
-262.982354833459,55.5757869855051
-263.347545634526,56.0878507560954
-263.715949803539,56.5976075555486
-264.087552767401,57.1050372192301
-264.462339826479,57.6101196745607
-264.840296155185,58.1128349418107
-265.221406802563,58.6131631348898
-265.605656692882,59.1110844621343
-265.993030626229,59.6065792270896
-266.383513279113,60.0996278292897
